,IP,Datetime,Request,StatusCode,Target
126,174.129.181.236,[30/Jun/2010:20:33:42 +0100],HEAD / HTTP/1.1,403,1
127,212.95.58.188,[01/Jul/2010:00:53:56 +0100],GET /templates/ HTTP/1.1,403,1
128,207.46.195.223,[01/Jul/2010:17:35:30 +0100],GET /robots.txt HTTP/1.1,403,1
129,207.46.195.223,[01/Jul/2010:17:36:21 +0100],GET / HTTP/1.1,403,1
130,208.80.193.39,[01/Jul/2010:21:07:45 +0100],GET / HTTP/1.0,403,1
131,207.46.204.239,[02/Jul/2010:23:14:07 +0100],GET /robots.txt HTTP/1.1,403,1
132,207.46.204.239,[02/Jul/2010:23:15:03 +0100],GET / HTTP/1.1,403,1
133,208.80.193.39,[03/Jul/2010:06:11:55 +0100],GET / HTTP/1.0,403,1
134,66.249.66.179,[04/Jul/2010:05:44:28 +0100],GET /robots.txt HTTP/1.1,403,1
135,66.249.66.179,[04/Jul/2010:05:44:28 +0100],GET / HTTP/1.1,403,1
136,208.80.193.39,[04/Jul/2010:10:32:50 +0100],GET / HTTP/1.0,403,1
137,66.249.66.113,[04/Jul/2010:12:35:39 +0100],GET /robots.txt HTTP/1.1,403,1
138,66.249.66.113,[04/Jul/2010:12:35:40 +0100],GET / HTTP/1.1,403,1
139,208.80.193.121,[05/Jul/2010:11:24:47 +0100],GET / HTTP/1.0,403,1
140,67.195.111.233,[05/Jul/2010:16:21:51 +0100],GET /robots.txt HTTP/1.0,403,1
141,67.195.111.233,[05/Jul/2010:16:21:52 +0100],GET / HTTP/1.0,403,1
142,207.46.13.45,[05/Jul/2010:19:29:54 +0100],GET /robots.txt HTTP/1.1,403,1
143,207.46.13.45,[05/Jul/2010:19:30:34 +0100],GET / HTTP/1.1,403,1
144,95.130.10.37,[06/Jul/2010:04:06:35 +0100],GET /robots.txt HTTP/1.1,403,1
145,95.130.10.37,[06/Jul/2010:04:06:36 +0100],GET /robots.txt HTTP/1.1,403,1
146,208.80.193.121,[06/Jul/2010:15:25:10 +0100],GET / HTTP/1.0,403,1
147,208.80.193.43,[07/Jul/2010:05:07:34 +0100],GET / HTTP/1.0,403,1
148,96.31.166.228,[07/Jul/2010:06:42:47 +0100],GET /robots.txt HTTP/1.1,403,1
149,96.31.166.228,[07/Jul/2010:06:42:47 +0100],GET / HTTP/1.1,403,1
150,72.94.249.37,[07/Jul/2010:16:21:49 +0100],GET / HTTP/1.1,403,1
151,72.94.249.37,[07/Jul/2010:16:21:49 +0100],GET / HTTP/1.1,403,1
152,207.46.13.53,[08/Jul/2010:00:30:10 +0100],GET /robots.txt HTTP/1.1,403,1
153,207.46.13.53,[08/Jul/2010:00:31:05 +0100],GET / HTTP/1.1,403,1
154,208.80.193.40,[09/Jul/2010:01:09:13 +0100],GET / HTTP/1.0,403,1
155,184.73.134.180,[09/Jul/2010:02:42:24 +0100],GET / HTTP/1.1,403,1
156,64.246.161.30,[09/Jul/2010:17:34:32 +0100],GET /robots.txt HTTP/1.0,403,1
157,64.246.161.30,[09/Jul/2010:17:34:33 +0100],GET / HTTP/1.1,403,1
158,65.52.108.58,[09/Jul/2010:22:12:06 +0100],GET /robots.txt HTTP/1.1,403,1
159,65.52.108.58,[09/Jul/2010:22:13:03 +0100],GET / HTTP/1.1,403,1
160,69.58.178.26,[10/Jul/2010:08:40:44 +0100],GET /robots.txt HTTP/1.1,403,1
161,69.58.178.26,[10/Jul/2010:08:40:45 +0100],GET / HTTP/1.1,403,1
162,208.80.193.37,[10/Jul/2010:09:49:03 +0100],GET / HTTP/1.0,403,1
163,67.202.35.247,[10/Jul/2010:17:10:42 +0100],GET / HTTP/1.0,403,1
164,208.80.193.39,[11/Jul/2010:19:04:52 +0100],GET / HTTP/1.0,403,1
165,207.46.204.230,[13/Jul/2010:02:09:45 +0100],GET /robots.txt HTTP/1.1,403,1
166,207.46.204.230,[13/Jul/2010:02:11:00 +0100],GET / HTTP/1.1,403,1
167,208.80.193.39,[13/Jul/2010:04:24:14 +0100],GET / HTTP/1.0,403,1
168,38.105.83.11,[14/Jul/2010:09:11:14 +0100],GET / HTTP/1.1,403,1
169,208.80.193.30,[14/Jul/2010:13:10:26 +0100],GET / HTTP/1.0,403,1
170,208.80.193.27,[15/Jul/2010:22:03:37 +0100],GET / HTTP/1.0,403,1
171,81.45.228.125,[16/Jul/2010:18:21:59 +0100],GET / HTTP/1.1,403,1
172,208.80.193.39,[17/Jul/2010:06:37:19 +0100],GET / HTTP/1.0,403,1
173,207.46.199.55,[18/Jul/2010:06:56:36 +0100],GET /robots.txt HTTP/1.1,403,1
174,207.46.199.55,[18/Jul/2010:06:59:23 +0100],GET / HTTP/1.1,403,1
175,208.80.193.38,[18/Jul/2010:14:50:47 +0100],GET / HTTP/1.0,403,1
176,207.46.194.240,[18/Jul/2010:18:34:56 +0100],GET /construcao.jpg HTTP/1.1,403,1
177,207.46.194.240,[18/Jul/2010:18:34:57 +0100],GET / HTTP/1.1,403,1
